Object ID,DepartmentCategorical,Object Name,Title,CultureCategorical,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,CountryCategorical
434286,9,"baseball card, print","spencer, catcher, boston, american league, from the baseball players (ramlys) series (t204) issued by the mentor company to promote ramly and t.t.t. turkish cigarettes",0,american,1909,1909,photolithograph,"the jefferson r. burdick collection, gift of jefferson r. burdick",0
446304,10,fragment,fragment of a bowl,0,american,1300,1499,earthenware; incised decoration through a white slip and coloring under a transparent glaze.,"rogers fund, 1913",18
447944,10,fragment,fragment,0,american,1700,1799,cotton; painted,"rogers fund, 1926",6
449151,10,dado panel,dado panel,0,american,1900,1999,plaster; cast,"rogers fund, 1937",19
452672,10,folio from an illustrated manuscript,"""yusuf and zulaikha"", folio 51r from a bustan of sa`di",0,american,1500,1560,"ink, opaque watercolor, and gold on paper","purchase, louis v. bell fund and the vincent astor foundation gift, 1974",20
459471,11,drawing,head of a man in profile,9,italian,1490,1499,"black chalk, pen and brown ink, heightened with white.","robert lehman collection, 1975",8
466522,12,fragment,glass fragment,11,french,1200,1299,colorless glass,"gift of dr. bashford dean, 1923",10
468605,12,hilt,eagle-headed hilt,24,greek,300,400,copper alloy,"gift of lawrence j. majewski, 1963",12
469993,13,panel,grisaille panel,11,french,1250,1270,white and pot-metal glass with vitreous paint,"the cloisters collection, 1982",10
470842,13,capital,capital,25,catalonia,1100,1150,marble,"the cloisters collection, 1925",21
471090,13,roundel,roundel with saint john the baptist,26,,1510,1520,"colorless glass, silver stain, vitreous paint","the cloisters collection, 1932",-1
