Object ID,DepartmentCategorical,Object Name,Title,CultureCategorical,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,CountryCategorical
705128,9,"baseball card, print","jo-jo white, from the goudey wide pen premiums series (r314) issued by the goudey gum company",0,american,1936,1936,photolithograph,"the jefferson r. burdick collection, gift of jefferson r. burdick",0
705189,9,"baseball card, print","""cy"" blanton, from the national chicle fine pen premiums series (r313) issued by the national chicle gum company",0,american,1936,1936,photolithograph,"the jefferson r. burdick collection, gift of jefferson r. burdick",0
708376,9,"baseball card, print","album 324, page 86",0,american,1936,1936,commercial lithographs,"the jefferson r. burdick collection, gift of jefferson r. burdick",0
709728,5,kylix fragment,terracotta fragment of a kylix (drinking cup),13,greek,-530,-450,terracotta,"gift of dietrich von bothmer, distinguished research curator, greek and roman art, 2011",12
727173,9,print,"silenus being carried by satyrs, after mantegna",0,american,1530,1550,engraving,"harris brisbane dick fund, 1917",0
727686,9,drawing,coupé/brougham #3887,0,american,1884,1884,graphite and red crayon  on wove paper with perforated linen tape adhered to left edge for binding,"gift of william brewster, 1923",0
728103,9,prints ornament & architecture,ancient temple,0,american,1545,1545,etching,"harris brisbane dick fund, 1947",0
728820,5,column-krater fragment,terracotta fragment of a column-krater (bowl for mixing wine and water),13,greek,-530,-400,terracotta,"gift of dietrich von bothmer, distinguished research curator, greek and roman art, 2011",12
729600,9,print,an indulgence with an image of our lord of chalma,0,american,1895,1905,photo-relief and letterpress on buff paper,"the elisha whittelsey collection, the elisha whittelsey fund, 1946",0
729779,9,print,"card 44, john morrissey, from the prizefighters series (n269) issued by p. lorillard company to promote mechanics delight long cut tobacco",0,american,1887,1887,commercial color lithograph,"the jefferson r. burdick collection, gift of jefferson r. burdick",0
732391,6,ephemera,"[rusted metal sign: ""slow, children""]",0,american,1960,1975,painted metal,"walker evans archive, 1994",0
733407,5,oinochoe fragment,terracotta fragment of an oinochoe (jug),13,greek,-530,-300,terracotta,"gift of dietrich von bothmer, distinguished research curator, greek and roman art, 2011",12
736330,9,print,the historian animating the mind of a young painter,0,american,1784,1784,hand-colored etching,"the elisha whittelsey collection, the elisha whittelsey fund, 1959",0
738416,9,book print ornament & architecture,"robes modèles historiques, viennoise",0,american,1800,1900,design: lithography,"harris brisbane dick fund, 1932",0
740176,5,skyphos fragment,terracotta fragment of a skyphos (deep drinking cup),13,greek,-530,-300,terracotta,"gift of dietrich von bothmer, distinguished research curator, greek and roman art, 2011",12
751829,9,"print, baseball","silas k. johnson, cincinnati reds, from the baseball players match cover design series (u1) issued by diamond match company",0,american,1934,1934,printed matchbook,"the jefferson r. burdick collection, gift of jefferson r. burdick",0
754604,9,print,"thrifty villagers, satisfied watching the presentation from the outside, from 'a celebration in the neighboring village,' published in le petit journal pour rire, june 24, 1865",0,american,1865,1865,lithograph on newsprint; third state of three (delteil),"harris brisbane dick fund, 1936",0
771069,4,vase,vase with flowering branch motif (one of a pair),8,british,1872,1872,bone china,"gift of helene fortunoff and robert grossman, 2017",7
777496,8,dish,metal dish,0,american,0,0,iron,"rogers fund, 1936",19
778279,9,"baseball card, print","card number 164, bob owchinko, san diego padres",0,american,1978,1978,commercial color lithograph,"gift of george r. goldner, in honor of stewart goldner, 2016",0
779306,9,trade card,"packard-tourist, from the ""antique autos"" series (r701-1), issued by bowman gum company",0,american,1953,1953,commercial color lithograph,"the jefferson r. burdick collection, gift of jefferson r. burdick",0
785013,9,print; ephemera,"norwegian air force in canada patrol bomber (northrup n3pb), from the ""modern airplanes"" series (t87), issued with wings cigarettes by brown and williamson tobacco company",0,american,1942,1942,commercial color lithograph,"the jefferson r. burdick collection, gift of jefferson r. burdick",0
813925,9,print,stonehenge,0,american,1979,1979,sugar-lift aquatint with roulette,"gift of jerry s. flum, 1980",0
820618,9,print,"psyche, holding the flask of beauty being transported by three putti",0,american,1525,1535,engraving,"bequest of grace pugh, 1985",0
824428,9,print,landscape and cattle,0,american,1875,1885,etching,"gift of henry levien, 1967",0
